Wavelength	c:/Users/Public/Halo/Exports/OtherFormats/Hynek_Natron_Set4/30174_HaloDefaultProject_HaloStandard-New Location 8-S_30174_0012.txt
350	 0.399326205253601 
351	 0.397350817918777 
352	 0.392843425273895 
353	 0.394041955471039 
354	 0.392683178186417 
355	 0.390793859958649 
356	 0.390233427286148 
357	 0.387553781270981 
358	 0.382181078195572 
359	 0.383774220943451 
360	 0.386250615119934 
361	 0.38337779045105 
362	 0.384782075881958 
363	 0.386927425861359 
364	 0.382830321788788 
365	 0.38173633813858 
366	 0.384266495704651 
367	 0.382252037525177 
368	 0.382754921913147 
369	 0.386293947696686 
370	 0.386451870203018 
371	 0.38642543554306 
372	 0.386817425489426 
373	 0.386491239070892 
374	 0.388872087001801 
375	 0.391872078180313 
376	 0.395571917295456 
377	 0.394650042057037 
378	 0.398618578910828 
379	 0.401758193969727 
380	 0.405868262052536 
381	 0.410599887371063 
382	 0.412008821964264 
383	 0.414011687040329 
384	 0.418483853340149 
385	 0.423112064599991 
386	 0.425431191921234 
387	 0.428124696016312 
388	 0.432758659124374 
389	 0.437223255634308 
390	 0.442278683185577 
391	 0.447578936815262 
392	 0.451777517795563 
393	 0.456627607345581 
394	 0.462120980024338 
395	 0.467318266630173 
396	 0.473766058683395 
397	 0.480531126260757 
398	 0.487813949584961 
399	 0.493026196956635 
400	 0.499815285205841 
401	 0.507733166217804 
402	 0.516664683818817 
403	 0.525311231613159 
404	 0.535151839256287 
405	 0.544999718666077 
406	 0.555035591125488 
407	 0.565693080425262 
408	 0.577496409416199 
409	 0.589660167694092 
410	 0.601143658161163 
411	 0.612796425819397 
412	 0.625109314918518 
413	 0.636056840419769 
414	 0.646877288818359 
415	 0.658120453357697 
416	 0.668251872062683 
417	 0.677626430988312 
418	 0.686366260051727 
419	 0.694301545619965 
420	 0.70090252161026 
421	 0.707019448280334 
422	 0.711540639400482 
423	 0.717011034488678 
424	 0.721969544887543 
425	 0.724317908287048 
426	 0.727088749408722 
427	 0.729308664798737 
428	 0.731306672096252 
429	 0.732956290245056 
430	 0.734811007976532 
431	 0.736474335193634 
432	 0.737712621688843 
433	 0.738709032535553 
434	 0.740145564079285 
435	 0.741230547428131 
436	 0.741854965686798 
437	 0.742104470729828 
438	 0.742327153682709 
439	 0.742211699485779 
440	 0.742477655410767 
441	 0.742023646831512 
442	 0.741828382015228 
443	 0.741523027420044 
444	 0.741172432899475 
445	 0.740553259849548 
446	 0.740007936954498 
447	 0.739447116851807 
448	 0.738836467266083 
449	 0.738027632236481 
450	 0.737265229225159 
451	 0.736664712429047 
452	 0.735917091369629 
453	 0.734968304634094 
454	 0.734002888202667 
455	 0.733302593231201 
456	 0.732792317867279 
457	 0.732506930828094 
458	 0.732258915901184 
459	 0.731942653656006 
460	 0.731679797172546 
461	 0.731185615062714 
462	 0.730829358100891 
463	 0.730633735656738 
464	 0.730257511138916 
465	 0.729617416858673 
466	 0.729212045669556 
467	 0.728938937187195 
468	 0.728596329689026 
469	 0.728173077106476 
470	 0.727713227272034 
471	 0.727455854415894 
472	 0.727066814899445 
473	 0.726714551448822 
474	 0.726488292217255 
475	 0.72630375623703 
476	 0.725885570049286 
477	 0.725691378116608 
478	 0.725466966629028 
479	 0.725215971469879 
480	 0.724730908870697 
481	 0.724284529685974 
482	 0.723923027515411 
483	 0.723655462265015 
484	 0.723118662834167 
485	 0.722496092319489 
486	 0.722193539142609 
487	 0.721811652183533 
488	 0.721390783786774 
489	 0.721206486225128 
490	 0.720952868461609 
491	 0.720633625984192 
492	 0.720359742641449 
493	 0.720129132270813 
494	 0.719925165176392 
495	 0.719440937042236 
496	 0.719111680984497 
497	 0.718714833259583 
498	 0.718289494514465 
499	 0.718092441558838 
500	 0.717774391174316 
501	 0.717478513717651 
502	 0.716987133026123 
503	 0.716469347476959 
504	 0.716136336326599 
505	 0.715928852558136 
506	 0.715780377388 
507	 0.715297639369965 
508	 0.714914858341217 
509	 0.714553892612457 
510	 0.714323699474335 
511	 0.713921070098877 
512	 0.713525891304016 
513	 0.713068962097168 
514	 0.712467432022095 
515	 0.711878538131714 
516	 0.711271941661835 
517	 0.7105393409729 
518	 0.710018217563629 
519	 0.709505021572113 
520	 0.709074974060059 
521	 0.708724856376648 
522	 0.708285570144653 
523	 0.707668602466583 
524	 0.707154750823975 
525	 0.706841170787811 
526	 0.706572711467743 
527	 0.706213057041168 
528	 0.705878674983978 
529	 0.70564079284668 
530	 0.705390214920044 
531	 0.705094993114471 
532	 0.704916000366211 
533	 0.704699218273163 
534	 0.704474449157715 
535	 0.704324543476105 
536	 0.704209387302399 
537	 0.704101026058197 
538	 0.703990995883942 
539	 0.703833937644959 
540	 0.703715324401855 
541	 0.703546345233917 
542	 0.70337975025177 
543	 0.703136563301086 
544	 0.702932357788086 
545	 0.70271760225296 
546	 0.70243114233017 
547	 0.702231109142303 
548	 0.702022433280945 
549	 0.701735615730286 
550	 0.701289117336273 
551	 0.700834155082703 
552	 0.700365483760834 
553	 0.699773728847504 
554	 0.699269771575928 
555	 0.698739945888519 
556	 0.698166072368622 
557	 0.697619080543518 
558	 0.69721519947052 
559	 0.696902811527252 
560	 0.696503818035126 
561	 0.695959389209747 
562	 0.695465505123138 
563	 0.695053815841675 
564	 0.69466894865036 
565	 0.694268763065338 
566	 0.693879067897797 
567	 0.693630754947662 
568	 0.693456768989563 
569	 0.693305730819702 
570	 0.693151950836182 
571	 0.693138301372528 
572	 0.693173289299011 
573	 0.693291902542114 
574	 0.69343900680542 
575	 0.693657517433167 
576	 0.694022059440613 
577	 0.694404542446136 
578	 0.69477367401123 
579	 0.695100963115692 
580	 0.695404291152954 
581	 0.695736467838287 
582	 0.69615364074707 
583	 0.696421980857849 
584	 0.696621119976044 
585	 0.696776807308197 
586	 0.696960866451263 
587	 0.697126865386963 
588	 0.697246134281158 
