Wavelength	c:/Users/Public/Halo/Exports/OtherFormats/Hynek_Natron_Set4/30174_HaloDefaultProject_HaloStandard-New Location 8-S_30174_0013.txt
438	 5.09103871881962E-02 
439	 5.10382987558842E-02 
440	 5.09007088840008E-02 
441	 5.05447536706924E-02 
442	 5.02763725817204E-02 
443	 5.00902310013771E-02 
444	 4.97210957109928E-02 
445	 4.95651587843895E-02 
446	 4.93972301483154E-02 
447	 4.91042323410511E-02 
448	 4.89484071731567E-02 
449	 4.88555543124676E-02 
450	 4.86530028283596E-02 
451	 4.82936576008797E-02 
452	 4.81498427689075E-02 
453	 4.81948368251324E-02 
454	 4.79467436671257E-02 
455	 0.047819122672081 
456	 4.79485094547272E-02 
457	 4.80057895183563E-02 
458	 4.80776503682137E-02 
459	 4.79178130626678E-02 
460	 4.78584133088589E-02 
461	 4.78332340717316E-02 
462	 4.76408526301384E-02 
463	 4.74025793373585E-02 
464	 4.72777746617794E-02 
465	 4.72124442458153E-02 
466	 4.72173728048801E-02 
467	 4.71715405583382E-02 
468	 4.72577065229416E-02 
469	 4.71880696713924E-02 
470	 4.71069626510143E-02 
471	 4.69432100653648E-02 
472	 4.67241071164608E-02 
473	 4.65417169034481E-02 
474	 4.65227290987968E-02 
475	 4.66228798031807E-02 
476	 4.65951897203922E-02 
477	 4.64724265038967E-02 
478	 4.64265085756779E-02 
479	 4.63389903306961E-02 
480	 4.62747924029827E-02 
481	 4.62254397571087E-02 
482	 4.61785346269608E-02 
483	 0.046217605471611 
484	 4.61863316595554E-02 
485	 4.58894222974777E-02 
486	 4.58650141954422E-02 
487	 4.59104515612125E-02 
488	 0.045793529599905 
489	 4.57344613969326E-02 
490	 0.045741505920887 
491	 4.56455387175083E-02 
492	 4.54618521034718E-02 
493	 4.53676506876946E-02 
494	 0.045267466455698 
495	 4.50974218547344E-02 
496	 4.50686514377594E-02 
497	 4.48931604623795E-02 
498	 4.47924919426441E-02 
499	 4.49875518679619E-02 
500	 4.50642704963684E-02 
501	 4.50319275259972E-02 
502	 4.48839329183102E-02 
503	 4.47227992117405E-02 
504	 4.46936711668968E-02 
505	 4.44225110113621E-02 
506	 4.45141680538654E-02 
507	 4.45006862282753E-02 
508	 4.42964918911457E-02 
509	 4.41887304186821E-02 
510	 4.41577434539795E-02 
511	 4.41646836698055E-02 
512	 4.41261604428291E-02 
513	 4.40868996083736E-02 
514	 4.38901111483574E-02 
515	 4.37726750969887E-02 
516	 4.37948033213615E-02 
517	 4.37148660421371E-02 
518	 4.36865352094173E-02 
519	 0.043632660061121 
520	 4.35904823243618E-02 
521	 4.35658656060696E-02 
522	 4.34281527996063E-02 
523	 4.34258729219437E-02 
524	 4.33867685496807E-02 
525	 4.34497147798538E-02 
526	 4.34143915772438E-02 
527	 4.34186197817326E-02 
528	 4.32990901172161E-02 
529	 4.32536751031876E-02 
530	 4.32332828640938E-02 
531	 4.31886352598667E-02 
532	 4.31922152638435E-02 
533	 4.31208536028862E-02 
534	 4.30311448872089E-02 
535	 4.30480875074863E-02 
536	 4.30976115167141E-02 
537	 4.30976264178753E-02 
538	 4.30377535521984E-02 
539	 4.30591776967049E-02 
540	 4.30124253034592E-02 
541	 0.043046560138464 
542	 4.30917777121067E-02 
543	 4.30491641163826E-02 
544	 4.30350713431835E-02 
545	 4.30179797112942E-02 
546	 0.04300232604146 
547	 4.29934337735176E-02 
548	 4.29978147149086E-02 
549	 4.29612025618553E-02 
550	 4.29889410734177E-02 
551	 4.29946407675743E-02 
552	 4.29863967001438E-02 
553	 4.29831221699715E-02 
554	 4.30116094648838E-02 
555	 4.30553033947945E-02 
556	 4.31187078356743E-02 
557	 4.30429577827454E-02 
558	 4.30367738008499E-02 
559	 4.30741272866726E-02 
560	 4.30681370198727E-02 
561	 4.30991947650909E-02 
562	 4.31152395904064E-02 
563	 4.32229451835155E-02 
564	 4.32681851089001E-02 
565	 4.32668887078762E-02 
566	 4.32979166507721E-02 
567	 0.043310459703207 
568	 4.33652810752392E-02 
569	 4.33432310819626E-02 
570	 0.043372631072998 
571	 4.33948412537575E-02 
572	 4.34379018843174E-02 
573	 4.34501469135284E-02 
574	 4.34001497924328E-02 
575	 4.34323586523533E-02 
576	 4.34516780078411E-02 
577	 4.34663780033588E-02 
578	 0.043451800942421 
579	 4.34026159346104E-02 
580	 4.33726795017719E-02 
581	 4.34114411473274E-02 
582	 4.33762595057487E-02 
583	 0.043368186801672 
584	 4.33482117950916E-02 
585	 4.33015078306198E-02 
586	 4.32951711118221E-02 
587	 4.33261543512344E-02 
588	 4.33503650128841E-02 
589	 4.33155782520771E-02 
590	 4.32403981685638E-02 
591	 4.32002209126949E-02 
592	 4.32005822658539E-02 
593	 0.043153703212738 
594	 0.043151281774044 
595	 4.31043729186058E-02 
596	 4.30561266839504E-02 
597	 4.29946035146713E-02 
598	 0.042911022901535 
599	 4.29336912930012E-02 
600	 4.28566113114357E-02 
601	 4.27882000803947E-02 
602	 0.042711365967989 
603	 4.26538661122322E-02 
604	 4.26176488399506E-02 
605	 4.25947234034538E-02 
606	 4.25602048635483E-02 
607	 4.25052307546139E-02 
608	 4.24766503274441E-02 
609	 4.24429252743721E-02 
610	 4.24138493835926E-02 
611	 4.24039699137211E-02 
